"","ZCTA5","WeekNo","StartDate","EndDate","CasesWk","CasesCm","CasesWkRt","CasesCmRt","TestsWk","TestsCm","TestsWkRt","TestsCmRt","PctPosWk","PctPosCum","DeathsWk","DeathsCm","DeathsWkRt","DeathsCmRt","RowID","TOTPOP","REGION","ZCTA5No","SurvCm","NotTestedCm","NotInfCm","CasesWkRtLag1wk","DeathsWkRtLag1wk","PctPosWkLag1wk","PctPosWk_adj","CasesWkRt_adj","DeathsWkRt_adj","PctPosWk_trd","CasesWkRt_trd","DeathsWkRt_trd","Hardship","CasesWkRt_qa","PctPosWk_qa","Hardship_qa","color","DeathsWkRt_qa","CasesWk_c","DeathsWk_c","CasesWkRt_c","DeathsWkRt_c","PctPosWk_c","CasesRtDiff","DeathsRtDiff","PctPosDiff"
"52","60628",12,2020-03-16,2020-03-22,24,26,36,39,112,121,168,181.3,21.4285714285714,21.4876033057851,0,0,0,0,"60628-2020-12",66724,"southeast",60628,66724,66603,66698,0,0,0,57.1428571428571,49.3150684931507,0,57.1428571428571,49.3150684931507,0,35.6740084454629,1,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,6.40175383127846,0,0.543300505142273
"53","60656",12,2020-03-16,2020-03-22,4,5,14,18.1,25,28,91,101.5,16,17.8571428571429,0,0,0,0,"60656-2020-12",27579,"northwest",60656,27579,27551,27574,0,0,0,42.6666666666667,19.1780821917808,0,42.6666666666667,19.1780821917808,0,20.7241506905481,1,5,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-15.5982461687215,0,-4.88527092342915
"54","60603",12,2020-03-16,2020-03-22,0,0,0,0,1,1,85,85.2,0,0,0,0,0,0,"60603-2020-12",1174,"central",60603,1174,1173,1174,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"55","60618",12,2020-03-16,2020-03-22,16,22,17,23.3,100,116,106,122.9,16,18.9655172413793,0,0,0,0,"60618-2020-12",94395,"northeast",60618,94395,94279,94373,0,0,0,42.6666666666667,23.2876712328767,0,42.6666666666667,23.2876712328767,0,22.1012723400972,1,5,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-12.5982461687215,0,-4.88527092342915
"56","60646",12,2020-03-16,2020-03-22,7,9,25,32.2,39,46,139,164.4,17.9487179487179,19.5652173913043,0,0,0,0,"60646-2020-12",27987,"northwest",60646,27987,27941,27978,0,0,0,47.8632478632479,34.2465753424658,0,47.8632478632479,34.2465753424658,0,27.5149690264614,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-4.59824616872154,0,-2.9365529747112
"57","60610",12,2020-03-16,2020-03-22,24,29,62,74.3,72,83,184,212.7,33.3333333333333,34.9397590361446,0,0,0,0,"60610-2020-12",39019,"northeast",60610,39019,38936,38990,0,0,0,88.8888888888889,84.9315068493151,0,88.8888888888889,84.9315068493151,0,58.2471453253738,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,32.4017538312785,0,12.4480624099042
"58","60625",12,2020-03-16,2020-03-22,24,25,30,31.5,82,96,104,121.1,29.2682926829268,26.0416666666667,1,1,1.3,1.3,"60625-2020-12",79243,"northeast",60625,79242,79147,79218,0,0,0,78.0487804878049,41.0958904109589,41.9354838709677,78.0487804878049,41.0958904109589,41.9354838709677,53.9778956552225,1,5,5,"#ff0000",2,821,7,29.5982461687215,0.0468668940552229,20.8852709234292,0.401753831278459,1.25313310594478,8.38302175949767
"59","60634",13,2020-03-23,2020-03-29,59,77,78,101.3,337,409,444,538.2,17.5074183976261,18.8264058679707,0,0,0,0,"60634-2020-13",75995,"northwest",60634,75995,75586,75918,22,0,25.7575757575758,30.6379821958457,34.5132743362832,0,15.9381042474342,37.17277486911,16.4705882352941,22.2033005639325,3,5,1,"#0070ff",1,2230,26,80.3947490331901,0,29.276618091112,-2.39474903319005,0,-11.7691996934859
"60","60625",13,2020-03-23,2020-03-29,27,52,34,65.6,149,245,188,309.2,18.1208053691275,21.2244897959184,0,1,0,1.3,"60625-2020-13",79243,"northeast",60625,79242,78998,79191,30,1.3,29.2682926829268,31.7114093959732,15.0442477876106,0,12.2136231175599,9.94764397905759,1.17647058823529,13.7059682126061,1,5,1,"#0070ff",1,2230,26,80.3947490331901,0,29.276618091112,-46.3947490331901,0,-11.1558127219845
"61","60614",13,2020-03-23,2020-03-29,39,77,55,108,145,294,203,412.3,26.8965517241379,26.1904761904762,0,1,0,1.4,"60614-2020-13",71308,"northeast",60614,71307,71014,71231,34,1.4,19.672131147541,47.0689655172414,24.3362831858407,0,35.8304791013431,18.848167539267,0,22.5266009566399,2,5,2,"#bed2ff",1,2230,26,80.3947490331901,0,29.276618091112,-25.3947490331901,0,-2.38006636697406
