"","Date","Geography","Cases","Cases7d","Casescm","Deaths","Deaths7d","Deathscm"
"1036",2020-11-27,"US",180850,172712.428571429,12622775,2248,1643.14285714286,260073
"1037",2020-11-28,"Chicago",1374,1401,164033,17,18.1428571428571,3556
"1038",2020-11-28,"Cook",2712,3508,301582,75,38.8571428571429,6338
"1039",2020-11-28,"Illinois",7891,9504.57142857143,712516,108,101,12137
"1040",2020-11-28,"US",141222,166574,12763997,1387,1550.42857142857,261460
"1041",2020-11-29,"Chicago",891,1417,164924,17,18.4285714285714,3573
"1042",2020-11-29,"Cook",2638,3332,304220,33,37.8571428571429,6371
"1043",2020-11-29,"Illinois",7403,9136.42857142857,719919,56,98.1428571428571,12193
"1044",2020-11-29,"US",175669,164379.142857143,12939666,1276,1468,262736
"1045",2020-11-30,"Chicago",2379,1417.14285714286,167303,22,18.8571428571429,3595
"1046",2020-11-30,"Cook",2149,3164.57142857143,306369,65,42.4285714285714,6436
"1047",2020-11-30,"Illinois",6190,8836,726109,85,103.714285714286,12278
"1048",2020-11-30,"US",143211,158617.285714286,13082877,1210,1430.71428571429,263946
"1049",2020-12-01,"Chicago",2180,1453.28571428571,169483,35,21.5714285714286,3630
"1050",2020-12-01,"Cook",4353,3371.14285714286,310722,21,39.1428571428571,6457
"1051",2020-12-01,"Illinois",12539,9276.42857142857,738648,125,103.714285714286,12403
"1052",2020-12-01,"US",151674,159271,13234551,862,1430,264808
"1053",2020-12-02,"Chicago",2051,1484.28571428571,171534,35,24.1428571428571,3665
"1054",2020-12-02,"Cook",3412,3260.28571428571,314134,71,45.7142857142857,6528
"1055",2020-12-02,"Illinois",9742,9047.14285714286,748390,236,115.285714285714,12639
"1056",2020-12-02,"US",151204,158417.285714286,13385755,1235,1456.14285714286,266043
"1057",2020-12-03,"Chicago",2068,1741.85714285714,173602,30,25.2857142857143,3695
"1058",2020-12-03,"Cook",4190,3170.71428571429,318324,46,48.1428571428571,6574
"1059",2020-12-03,"Illinois",10949,8900.57142857143,759339,191,123.857142857143,12830
"1060",2020-12-03,"US",177976,160258,13563731,2439,1522.42857142857,268482
"1061",2020-12-04,"Chicago",1846,1827,175448,32,26.8571428571429,3727
"1062",2020-12-04,"Cook",3798,3321.71428571429,322122,23,47.7142857142857,6597
"1063",2020-12-04,"Illinois",10545,9322.71428571429,769884,144,135,12974
"1064",2020-12-04,"US",195769,162389.285714286,13759500,2751,1594.28571428571,271233
"1065",2020-12-05,"Chicago",1204,1802.71428571429,176652,11,26,3738
"1066",2020-12-05,"Cook",3691,3461.57142857143,325813,64,46.1428571428571,6661
"1067",2020-12-05,"Illinois",9856,9603.42857142857,779740,205,148.857142857143,13179
"1068",2020-12-05,"US",218671,173453.428571429,13978171,2844,1802.42857142857,274077
"1069",2020-12-06,"Chicago",709,1776.71428571429,177361,26,27.2857142857143,3764
"1070",2020-12-06,"Cook",3190,3540.42857142857,329003,23,44.7142857142857,6684
"1071",2020-12-06,"Illinois",7520,9620.14285714286,787260,76,151.714285714286,13255
"1072",2020-12-06,"US",213127,178804.571428571,14191298,2426,1966.71428571429,276503
"1073",2020-12-07,"Chicago",2064,1731.71428571429,179425,34,29,3798
"1074",2020-12-07,"Cook",3690,3760.57142857143,332693,61,44.1428571428571,6745
"1075",2020-12-07,"Illinois",8684,9976.42857142857,795944,88,152.142857142857,13343
"1076",2020-12-07,"US",205837,187751.142857143,14397135,2303,2122.85714285714,278806
"1077",2020-12-08,"Chicago",2056,1714,181481,34,28.8571428571429,3832
"1078",2020-12-08,"Cook",2511,3497.42857142857,335204,32,45.7142857142857,6777
"1079",2020-12-08,"Illinois",7914,9315.71428571429,803858,144,154.857142857143,13487
"1080",2020-12-08,"US",173388,190853.142857143,14570523,1107,2157.85714285714,279913
"1081",2020-12-09,"Chicago",1753,1671.42857142857,183234,28,27.8571428571429,3860
"1082",2020-12-09,"Cook",2889,3422.71428571429,338093,64,44.7142857142857,6841
"1083",2020-12-09,"Illinois",8247,9102.14285714286,812105,179,146.714285714286,13666
"1084",2020-12-09,"US",185473,195748.714285714,14755996,1529,2199.85714285714,281442
"1085",2020-12-10,"Chicago",1706,1619.71428571429,184940,19,26.2857142857143,3879
"1086",2020-12-10,"Cook",4561,3475.71428571429,342654,59,46.5714285714286,6900
"1087",2020-12-10,"Illinois",11131,9128.14285714286,823236,195,147.285714285714,13861
"1088",2020-12-10,"US",216360,201232.142857143,14972356,2552,2216,283994
"1089",2020-12-11,"Chicago",1672,1594.85714285714,186612,29,25.8571428571429,3908
"1090",2020-12-11,"Cook",3350,3411.71428571429,346004,70,53.2857142857143,6970
"1091",2020-12-11,"Illinois",9434,8969.42857142857,832670,189,153.714285714286,14050
"1092",2020-12-11,"US",230852,206244,15203208,3390,2307.28571428571,287384
