"","Date","Category","Value","layer"
"266",2020-03-16,"Deaths_Age18_29",0,"DeathsAgeT"
"267",2020-03-17,"Deaths_Age18_29",0,"DeathsAgeT"
"268",2020-03-18,"Deaths_Age18_29",0,"DeathsAgeT"
"269",2020-03-19,"Deaths_Age18_29",0,"DeathsAgeT"
"270",2020-03-20,"Deaths_Age18_29",0,"DeathsAgeT"
"271",2020-03-21,"Deaths_Age18_29",0,"DeathsAgeT"
"272",2020-03-22,"Deaths_Age18_29",0,"DeathsAgeT"
"273",2020-03-23,"Deaths_Age18_29",1,"DeathsAgeT"
"274",2020-03-24,"Deaths_Age18_29",0,"DeathsAgeT"
"275",2020-03-25,"Deaths_Age18_29",0,"DeathsAgeT"
"276",2020-03-26,"Deaths_Age18_29",0,"DeathsAgeT"
"277",2020-03-27,"Deaths_Age18_29",0,"DeathsAgeT"
"278",2020-03-28,"Deaths_Age18_29",0,"DeathsAgeT"
"279",2020-03-29,"Deaths_Age18_29",1,"DeathsAgeT"
"280",2020-03-30,"Deaths_Age18_29",0,"DeathsAgeT"
"281",2020-03-31,"Deaths_Age18_29",0,"DeathsAgeT"
"282",2020-04-01,"Deaths_Age18_29",0,"DeathsAgeT"
"283",2020-04-02,"Deaths_Age18_29",0,"DeathsAgeT"
"284",2020-04-03,"Deaths_Age18_29",0,"DeathsAgeT"
"285",2020-04-04,"Deaths_Age18_29",0,"DeathsAgeT"
"286",2020-04-05,"Deaths_Age18_29",0,"DeathsAgeT"
"287",2020-04-06,"Deaths_Age18_29",0,"DeathsAgeT"
"288",2020-04-07,"Deaths_Age18_29",0,"DeathsAgeT"
"289",2020-04-08,"Deaths_Age18_29",0,"DeathsAgeT"
"290",2020-04-09,"Deaths_Age18_29",0,"DeathsAgeT"
"291",2020-04-10,"Deaths_Age18_29",0,"DeathsAgeT"
"292",2020-04-11,"Deaths_Age18_29",0,"DeathsAgeT"
"293",2020-04-12,"Deaths_Age18_29",0,"DeathsAgeT"
"294",2020-04-13,"Deaths_Age18_29",0,"DeathsAgeT"
"295",2020-04-14,"Deaths_Age18_29",1,"DeathsAgeT"
"296",2020-04-15,"Deaths_Age18_29",1,"DeathsAgeT"
"297",2020-04-16,"Deaths_Age18_29",0,"DeathsAgeT"
"298",2020-04-17,"Deaths_Age18_29",0,"DeathsAgeT"
"299",2020-04-18,"Deaths_Age18_29",0,"DeathsAgeT"
"300",2020-04-19,"Deaths_Age18_29",0,"DeathsAgeT"
